,Host,CID_Host,Guest,CID_Guest,pH,T,DeltaG,Erreur,K,logK,Reference,Original_Value,IsomericSMILES,IsomericSMILES_Host,TPSA,MolecularWeight,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,HeavyAtomCount,MolLogP,AromaticProportion,TPSA_Host,MolecularWeight_Host,Complexity_Host,Charge_Host,HBondDonorCount_Host,HBondAcceptorCount_Host,HeavyAtomCount_Host,iso2vec-0,iso2vec-1,iso2vec-2,iso2vec-3,iso2vec-4,iso2vec-5,iso2vec-6,iso2vec-7,iso2vec-8,iso2vec-9,iso2vec-host-0,iso2vec-host-1,iso2vec-host-2,iso2vec-host-3,iso2vec-host-4,iso2vec-host-5,iso2vec-host-6,iso2vec-host-7,iso2vec-host-8,iso2vec-host-9
1,alpha-cyclodextrin,444913,trans-anethole,637563,7.0,298.0,-16.27,0.0,710,,"Kfoury M, Auezova L, Greige-Gerges H, Ruellan S, Fourmentin S(2014b) Cyclodextrin, an efficient tool for trans-anethole encap-sulation: chromatographic, spectroscopic, thermal and structuralstudies.  Food  Chem  164:454–461. https://doi.org/10.1016/j.foodchem.2014.05.052",K,C/C=C/C1=CC=C(OC)C=C1,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,9.23,148.20499999999998,233.55461928814677,0,0,1,11,2.728300000000001,0.5454545454545454,474.9000000000001,972.8460000000011,1233.4857443469036,0,18,30,66,0.014063292,-1.802961,-0.35823098,1.3083998,-0.23945692,-0.27322814,-0.22999476,-0.009108493,0.7102048,-0.2967891,0.25891924,0.861645,0.30343208,-0.06228494,0.33509254,0.1537315,0.61333036,-0.28240612,-0.22697166,-0.049226433
2,alpha-cyclodextrin,444913,acetonitrile,6342,3.8,298.0,-4.3,0.1,6,," Gelb, R. I.; Schwartz, L. M.; Radeods, M.; Edmonds, R. B.; Laufer, D. A. J. Am. Chem. Soc. 1982, 104, 6283-6288.",DeltaG,CC#N,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,23.79,41.053,24.264662506490403,0,0,1,3,0.52988,0.0,474.9000000000001,972.8460000000011,1233.4857443469036,0,18,30,66,-0.27131394,-0.29413435,-0.4763217,0.7844371,0.4349741,-0.34071848,0.2706203,0.22240175,0.36493683,-0.16360898,0.25891924,0.861645,0.30343208,-0.06228494,0.33509254,0.1537315,0.61333036,-0.28240612,-0.22697166,-0.049226433
3,methyl beta-cyclodextrin,51051622,trans-anethole,637563,7.0,298.0,-17.37,0.0,1110,,"Kfoury M, Auezova L, Greige-Gerges H, Ruellan S, Fourmentin S(2014b) Cyclodextrin, an efficient tool for trans-anethole encap-sulation: chromatographic, spectroscopic, thermal and structuralstudies.  Food  Chem  164:454–461. https://doi.org/10.1016/j.foodchem.2014.05.052",K,C/C=C/C1=CC=C(OC)C=C1,CO[C@@H]1[C@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]([C@@H](CO)O2)[C@H]1O)[C@@H](OC)[C@@H]8OC)[C@@H](OC)[C@@H]7OC)[C@@H](OC)[C@@H]6OC)[C@@H](OC)[C@@H]5OC)[C@@H](OC)[C@@H]4OC)[C@@H](OC)[C@@H]3O,9.23,148.20499999999998,233.55461928814677,0,0,1,11,2.728300000000001,0.5454545454545454,422.0500000000002,1303.3109999999997,2038.004194716883,0,9,35,89,0.014063292,-1.802961,-0.35823098,1.3083998,-0.23945692,-0.27322814,-0.22999476,-0.009108493,0.7102048,-0.2967891,0.13623242,0.76314646,0.21443704,-0.035484962,0.3558437,0.16638033,0.5772587,-0.2498776,-0.22380413,-0.036423024
4,alpha-cyclodextrin,444913,n-acetyl-l-leucinamide,87995317,7.0,298.0,-7.4,0.5,20,," Barone, G.; Castronuovo, G.; di Ruocco, V.; Elia, V.; Giancola, C. Carbohydr. Res. 1989, 192, 331-341.",DeltaG,CC(=O)NC(=O)[C@@H](N)CC(C)C,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,72.19,172.22799999999998,177.89667380414838,0,2,3,12,0.022499999999999964,0.0,474.9000000000001,972.8460000000011,1233.4857443469036,0,18,30,66,0.6929166,0.31231534,-0.254671,0.6444458,0.6216306,-0.19576158,0.8519543,0.39239064,0.65924144,0.19883382,0.25891924,0.861645,0.30343208,-0.06228494,0.33509254,0.1537315,0.61333036,-0.28240612,-0.22697166,-0.049226433
5,beta-cyclodextrin,444041,trans-anethole,637563,7.0,298.0,-15.38,0.0,497,,"Kfoury M, Auezova L, Greige-Gerges H, Ruellan S, Fourmentin S(2014b) Cyclodextrin, an efficient tool for trans-anethole encap-sulation: chromatographic, spectroscopic, thermal and structuralstudies.  Food  Chem  164:454–461. https://doi.org/10.1016/j.foodchem.2014.05.052",K,C/C=C/C1=CC=C(OC)C=C1,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,9.23,148.20499999999998,233.55461928814677,0,0,1,11,2.728300000000001,0.5454545454545454,554.0500000000002,1134.9870000000014,1467.0881468264465,0,21,35,77,0.014063292,-1.802961,-0.35823098,1.3083998,-0.23945692,-0.27322814,-0.22999476,-0.009108493,0.7102048,-0.2967891,0.2626255,0.86445445,0.30033317,-0.0630008,0.331219,0.1535622,0.6121073,-0.28027764,-0.22844948,-0.048584875
7,hp-beta-cd,138319308,trans-anethole,637563,7.0,298.0,-17.07,0.0,981,,"Kfoury M, Auezova L, Greige-Gerges H, Ruellan S, Fourmentin S(2014b) Cyclodextrin, an efficient tool for trans-anethole encap-sulation: chromatographic, spectroscopic, thermal and structuralstudies.  Food  Chem  164:454–461. https://doi.org/10.1016/j.foodchem.2014.05.052",K,C/C=C/C1=CC=C(OC)C=C1,CC(O)COC[C@H]1O[C@@H]2O[C@H]3[C@@H](O)[C@H](O)[C@@H](O[C@H]4[C@@H](O)[C@H](O)[C@@H](O[C@H]5[C@@H](O)[C@H](O)[C@@H](O[C@H]6[C@@H](O)[C@H](O)[C@@H](O[C@H]7[C@@H](O)[C@H](O)[C@@H](O[C@H]8[C@@H](O)[C@H](O)[C@@H](O[C@H]1[C@@H](O)[C@@H]2O)O[C@@H]8COCC(C)O)O[C@@H]7COCC(C)O)O[C@@H]6COCC(C)O)O[C@@H]5COCC(C)O)O[C@@H]4COCC(C)O)O[C@@H]3COCC(C)O,9.23,148.20499999999998,233.55461928814677,0,0,1,11,2.728300000000001,0.5454545454545454,618.6600000000004,1541.5470000000007,1996.520904719373,0,21,42,105,0.014063292,-1.802961,-0.35823098,1.3083998,-0.23945692,-0.27322814,-0.22999476,-0.009108493,0.7102048,-0.2967891,0.36621144,0.6796585,0.120103136,0.10104602,0.3105615,0.004921822,0.5923834,-0.16931322,-0.12828474,-0.16193587
9,gamma-cyclodextrin,5287407,trans-anethole,637563,7.0,298.0,-11.31,0.0,96,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,C/C=C/C1=CC=C(OC)C=C1,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@@H]9[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,9.23,148.20499999999998,233.55461928814677,0,0,1,11,2.728300000000001,0.5454545454545454,633.2000000000003,1297.1280000000015,1704.4130590253585,0,24,40,88,0.014063292,-1.802961,-0.35823098,1.3083998,-0.23945692,-0.27322814,-0.22999476,-0.009108493,0.7102048,-0.2967891,0.2651827,0.866627,0.29783505,-0.06326773,0.32821473,0.15318896,0.61130404,-0.27793846,-0.22971776,-0.04746944
10,alpha-cyclodextrin,444913,1-adamantanecarboxylate,3637755,8.5,298.0,-12.2,0.0,138,," Eftink, M. R.; Andy, M. L.; Bystro¨m, K.; Perlmutter, H. D.; Kristol, D. S. J. Am. Chem. Soc. 1989, 111, 6765-6772.",DeltaG,O=C([O-])C12CC3CC(CC(C3)C1)C2,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,40.129999999999995,179.23899999999995,221.53168113250698,-1,0,2,13,0.9526999999999995,0.0,474.9000000000001,972.8460000000011,1233.4857443469036,0,18,30,66,0.22524618,-0.83268607,-0.20688787,0.31824583,0.36635002,-0.43317124,-0.41452974,0.024797501,0.23466174,-0.006479869,0.25891924,0.861645,0.30343208,-0.06228494,0.33509254,0.1537315,0.61333036,-0.28240612,-0.22697166,-0.049226433
11,sulfobutylether-beta-cd,91886200,trans-anethole,637563,7.0,298.0,-17.59,0.0,1210,,"Kfoury, M., Auezova, L., Greige-Gerges, H. et al. Encapsulation in cyclodextrins to widen the applications of essential oils. Environ Chem Lett 17, 129–143 (2019). https://doi.org/10.1007/s10311-018-0783-y",K,C/C=C/C1=CC=C(OC)C=C1,C[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](COCCCCS(=O)(=O)[O-])O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O.[Na+],9.23,148.20499999999998,233.55461928814677,0,0,1,11,2.728300000000001,0.5454545454545454,580.0200000000002,1277.1420000000012,2144.1382411691416,0,19,37,85,0.014063292,-1.802961,-0.35823098,1.3083998,-0.23945692,-0.27322814,-0.22999476,-0.009108493,0.7102048,-0.2967891,0.28019685,0.81077373,0.29861262,-0.035150122,0.35440361,0.14304717,0.57158935,-0.23897944,-0.16933882,-0.022711152
12,alpha-cyclodextrin,444913,1-adamantylammonium,3776755,7.0,298.0,-13.9,0.1,273,," Gelb, R. I.; Schwartz, L. M.; Laufer, D. A. J. Chem. Soc., Perkin Trans. 2 1984, 15-21.",DeltaG,[NH3+]C12CC3CC(CC(C3)C1)C2,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,27.64,152.26099999999997,150.02758609770032,1,1,0,11,1.1970999999999992,0.0,474.9000000000001,972.8460000000011,1233.4857443469036,0,18,30,66,0.41634765,-0.25610134,0.010697499,0.0590416,0.25660825,-0.5853613,-0.056214288,0.3436323,0.31087098,0.051823013,0.25891924,0.861645,0.30343208,-0.06228494,0.33509254,0.1537315,0.61333036,-0.28240612,-0.22697166,-0.049226433
