,Host,CID_Host,Guest,CID_Guest,pH,T,DeltaG,Erreur,K,logK,Reference,Original_Value,Drop
0,alpha-cyclodextrin,444913,acetic acid,176.0,7.0,298.0,-21.8,6.7,6627,," Lewis, E. A.; Hansen, L. D. J. Chem. Soc., Perkin Trans. 2 1973, 2081-2085.",DeltaG,True
1,alpha-cyclodextrin,444913,trans-anethole,637563.0,7.0,298.0,-16.27,0.0,710,,"Kfoury M, Auezova L, Greige-Gerges H, Ruellan S, Fourmentin S(2014b) Cyclodextrin, an efficient tool for trans-anethole encap-sulation: chromatographic, spectroscopic, thermal and structuralstudies.  Food  Chem  164:454–461. https://doi.org/10.1016/j.foodchem.2014.05.052",K,False
2,alpha-cyclodextrin,444913,acetonitrile,6342.0,3.8,298.0,-4.3,0.1,6,," Gelb, R. I.; Schwartz, L. M.; Radeods, M.; Edmonds, R. B.; Laufer, D. A. J. Am. Chem. Soc. 1982, 104, 6283-6288.",DeltaG,False
3,methyl beta-cyclodextrin,51051622,trans-anethole,637563.0,7.0,298.0,-17.37,0.0,1110,,"Kfoury M, Auezova L, Greige-Gerges H, Ruellan S, Fourmentin S(2014b) Cyclodextrin, an efficient tool for trans-anethole encap-sulation: chromatographic, spectroscopic, thermal and structuralstudies.  Food  Chem  164:454–461. https://doi.org/10.1016/j.foodchem.2014.05.052",K,False
4,alpha-cyclodextrin,444913,n-acetyl-l-leucinamide,87995317.0,7.0,298.0,-7.4,0.5,20,," Barone, G.; Castronuovo, G.; di Ruocco, V.; Elia, V.; Giancola, C. Carbohydr. Res. 1989, 192, 331-341.",DeltaG,False
5,beta-cyclodextrin,444041,trans-anethole,637563.0,7.0,298.0,-15.38,0.0,497,,"Kfoury M, Auezova L, Greige-Gerges H, Ruellan S, Fourmentin S(2014b) Cyclodextrin, an efficient tool for trans-anethole encap-sulation: chromatographic, spectroscopic, thermal and structuralstudies.  Food  Chem  164:454–461. https://doi.org/10.1016/j.foodchem.2014.05.052",K,False
6,alpha-cyclodextrin,444913,1-adamantanecarboxylate,3637755.0,7.2,298.0,-14.2,0.0,308,," Harrison, J. C.; Eftink, M. R. Biopolymers 1982, 21, 1153-1166.",DeltaG,True
7,hp-beta-cd,138319308,trans-anethole,637563.0,7.0,298.0,-17.07,0.0,981,,"Kfoury M, Auezova L, Greige-Gerges H, Ruellan S, Fourmentin S(2014b) Cyclodextrin, an efficient tool for trans-anethole encap-sulation: chromatographic, spectroscopic, thermal and structuralstudies.  Food  Chem  164:454–461. https://doi.org/10.1016/j.foodchem.2014.05.052",K,False
8,alpha-cyclodextrin,444913,1-adamantanecarboxylate,3637755.0,7.0,298.0,-12.2,0.2,138,," Gelb, R. I.; Schwartz, L. M.; Laufer, D. A. Bioorg. Chem. 1980, 9, 450-461.",DeltaG,True
9,gamma-cyclodextrin,5287407,trans-anethole,637563.0,7.0,298.0,-11.31,0.0,96,,"Ciobanu A, Landy D, Fourmentin S (2013) Complexation efficiencyof cyclodextrins for volatile flavor compounds. Food Res Int53(1):110–114. https ://doi.org/10.1016/j.foodr es.2013.03.048",K,False
10,alpha-cyclodextrin,444913,1-adamantanecarboxylate,3637755.0,8.5,298.0,-12.2,0.0,138,," Eftink, M. R.; Andy, M. L.; Bystro¨m, K.; Perlmutter, H. D.; Kristol, D. S. J. Am. Chem. Soc. 1989, 111, 6765-6772.",DeltaG,False
