iter	Passed	Remaining
0	22	33154
1	35	26694
2	48	24208
3	62	23343
4	74	22351
5	87	21789
6	101	21544
7	114	21267
8	126	20915
9	138	20606
10	150	20418
11	163	20222
12	175	20024
13	186	19847
14	199	19770
15	211	19653
16	224	19566
17	237	19583
18	251	19572
19	264	19545
20	277	19543
21	290	19505
22	304	19526
23	316	19483
24	330	19507
25	343	19491
26	356	19474
27	370	19474
28	383	19460
29	396	19438
30	409	19424
31	422	19394
32	434	19332
33	447	19278
34	459	19222
35	471	19166
36	483	19114
37	496	19114
38	510	19135
39	523	19094
40	536	19084
41	548	19051
42	561	19020
43	573	18990
44	586	18960
45	599	18935
46	612	18921
47	624	18894
48	636	18857
49	649	18844
50	664	18867
51	677	18860
52	690	18847
53	703	18838
54	717	18838
55	730	18829
56	744	18836
57	757	18836
58	770	18822
59	783	18805
60	796	18796
61	810	18794
62	823	18783
63	836	18774
64	850	18772
65	862	18745
66	876	18736
67	888	18711
68	901	18687
69	913	18667
70	926	18652
71	939	18633
72	951	18605
73	963	18566
74	975	18537
75	987	18510
76	1000	18487
77	1013	18477
78	1026	18461
79	1039	18443
80	1051	18414
81	1063	18390
82	1075	18363
83	1087	18339
84	1100	18324
85	1113	18301
86	1125	18283
87	1138	18260
88	1150	18239
89	1163	18223
90	1177	18236
91	1191	18238
92	1204	18228
93	1218	18222
94	1232	18223
95	1245	18211
96	1259	18213
97	1271	18196
98	1285	18195
99	1299	18191
100	1311	18166
101	1323	18144
102	1336	18133
103	1349	18120
104	1363	18111
105	1375	18087
106	1387	18067
107	1399	18042
108	1412	18026
109	1425	18012
110	1437	17985
111	1449	17962
112	1461	17940
113	1473	17916
114	1485	17896
115	1498	17877
116	1510	17856
117	1522	17836
118	1535	17819
119	1547	17800
120	1560	17781
121	1572	17760
122	1584	17739
123	1597	17725
124	1609	17704
125	1621	17684
126	1635	17677
127	1647	17658
128	1660	17649
129	1673	17633
130	1686	17621
131	1698	17604
132	1711	17596
133	1725	17584
134	1738	17578
135	1751	17567
136	1765	17564
137	1778	17551
138	1790	17529
139	1803	17515
140	1815	17501
141	1828	17485
142	1842	17486
143	1856	17478
144	1868	17463
145	1882	17456
146	1896	17452
147	1909	17442
148	1923	17439
149	1935	17423
150	1948	17410
151	1961	17396
152	1974	17384
153	1987	17369
154	2000	17358
155	2012	17342
156	2025	17326
157	2038	17312
158	2051	17302
159	2063	17281
160	2075	17264
161	2088	17246
162	2101	17235
163	2115	17236
164	2127	17212
165	2139	17193
166	2151	17174
167	2163	17153
168	2175	17136
169	2188	17119
170	2200	17105
171	2213	17086
172	2225	17071
173	2237	17050
174	2250	17035
175	2262	17022
176	2275	17007
177	2288	16993
178	2300	16975
179	2312	16958
180	2325	16943
181	2337	16925
182	2349	16909
183	2361	16892
184	2373	16874
185	2386	16858
186	2398	16837
187	2410	16820
188	2421	16798
189	2433	16777
190	2445	16760
191	2458	16745
192	2470	16730
193	2482	16714
194	2495	16700
195	2508	16689
196	2521	16680
197	2535	16673
198	2548	16658
199	2561	16647
200	2573	16633
201	2587	16625
202	2600	16614
203	2613	16601
204	2625	16586
205	2639	16579
206	2654	16578
207	2667	16571
208	2682	16568
209	2696	16566
210	2711	16563
211	2725	16561
212	2738	16548
213	2751	16533
214	2764	16524
215	2779	16520
216	2791	16506
217	2804	16491
218	2816	16477
219	2829	16461
220	2842	16450
221	2855	16438
222	2867	16422
223	2879	16404
224	2892	16389
225	2904	16372
226	2916	16358
227	2929	16342
228	2941	16326
229	2954	16313
230	2966	16298
231	2979	16282
232	2991	16267
233	3004	16253
234	3017	16245
235	3032	16239
236	3045	16231
237	3060	16229
238	3075	16224
239	3088	16216
240	3101	16204
241	3114	16190
242	3127	16175
243	3139	16160
244	3151	16144
245	3164	16130
246	3176	16114
247	3188	16097
248	3201	16086
249	3214	16071
250	3227	16058
251	3239	16041
252	3251	16024
253	3263	16009
254	3275	15994
255	3288	15978
256	3300	15965
257	3313	15949
258	3326	15937
259	3340	15930
260	3355	15929
261	3369	15922
262	3384	15916
263	3397	15906
264	3410	15895
265	3423	15881
266	3436	15871
267	3449	15856
268	3461	15841
269	3474	15826
270	3487	15815
271	3499	15800
272	3511	15784
273	3524	15769
274	3537	15758
275	3549	15741
276	3562	15727
277	3574	15711
278	3586	15697
279	3599	15683
280	3611	15667
281	3624	15653
282	3636	15639
283	3648	15623
284	3663	15616
285	3678	15613
286	3694	15615
287	3711	15617
288	3727	15620
289	3742	15615
290	3755	15604
291	3769	15593
292	3782	15582
293	3795	15569
294	3808	15555
295	3820	15539
296	3833	15525
297	3845	15511
298	3858	15499
299	3872	15490
300	3885	15476
301	3898	15466
302	3911	15452
303	3924	15438
304	3938	15429
305	3951	15418
306	3963	15403
307	3975	15387
308	3988	15372
309	4001	15362
310	4017	15358
311	4031	15351
312	4046	15345
313	4060	15337
314	4073	15323
315	4086	15310
316	4098	15295
317	4111	15281
318	4123	15265
319	4135	15249
320	4147	15234
321	4160	15220
322	4173	15206
323	4185	15191
324	4197	15176
325	4210	15161
326	4221	15144
327	4234	15129
328	4246	15115
329	4258	15099
330	4271	15085
331	4283	15068
332	4295	15053
333	4309	15043
334	4323	15035
335	4337	15026
336	4352	15019
337	4366	15012
338	4380	15000
339	4393	14988
340	4404	14971
341	4417	14956
342	4429	14940
343	4441	14923
344	4452	14907
345	4464	14891
346	4476	14874
347	4488	14859
348	4501	14845
349	4528	14879
350	4541	14867
351	4553	14849
352	4566	14837
353	4578	14821
354	4589	14801
355	4600	14782
356	4613	14769
357	4626	14757
358	4640	14749
359	4655	14742
360	4670	14734
361	4684	14726
362	4698	14717
363	4711	14705
364	4724	14690
365	4736	14676
366	4749	14661
367	4761	14646
368	4773	14632
369	4786	14619
370	4799	14606
371	4813	14594
372	4825	14579
373	4838	14568
374	4852	14557
375	4864	14543
376	4877	14530
377	4891	14518
378	4904	14507
379	4917	14492
380	4930	14481
381	4943	14467
382	4956	14455
383	4970	14445
384	4984	14435
385	4997	14423
386	5010	14410
387	5024	14399
388	5037	14387
389	5050	14374
390	5064	14363
391	5076	14348
392	5089	14337
393	5103	14327
394	5117	14316
395	5130	14302
396	5142	14287
397	5154	14273
398	5167	14258
399	5179	14244
400	5191	14228
401	5203	14213
402	5216	14198
403	5229	14185
404	5242	14173
405	5256	14162
406	5270	14153
407	5285	14147
408	5299	14135
409	5311	14119
410	5323	14104
411	5335	14088
412	5346	14072
413	5358	14057
414	5370	14040
415	5382	14024
416	5394	14009
417	5406	13993
418	5419	13981
419	5431	13965
420	5443	13950
421	5455	13935
422	5467	13920
423	5479	13905
424	5491	13889
425	5504	13876
426	5516	13863
427	5529	13850
428	5542	13835
429	5554	13821
430	5568	13810
431	5582	13800
432	5595	13789
433	5610	13780
434	5623	13768
435	5636	13754
436	5648	13740
437	5661	13726
438	5673	13712
439	5686	13698
440	5698	13683
441	5711	13670
442	5723	13655
443	5735	13640
444	5747	13625
445	5760	13613
446	5773	13601
447	5786	13587
448	5799	13574
449	5811	13559
450	5822	13543
